電廠名稱,地址,緯度,經度,機組名稱,商轉日期,裝置容量(瓩),燃料種類
天輪#1,42441台中市和平區天輪里東關路二段89-1號,24.185,120.925016,天輪#1機,41.09,"22,500",水
天輪#2,42441台中市和平區天輪里東關路二段89-1號,24.185,120.925016,天輪#2機,41.09,"22,500",水
天輪#3,42441台中市和平區天輪里東關路二段89-1號,24.185,120.925016,天輪#3機,41.09,"22,500",水
天輪#4,42441台中市和平區天輪里東關路二段89-1號,24.185,120.925016,天輪#4機,41.09,"22,500",水
天輪#5,42441台中市和平區天輪里東關路二段89-1號,24.185,120.925016,天輪#5機,85.04.30,"105,000",水
馬鞍#1,42441台中市和平區天輪里東關路二段89-1號,24.1825,120.84,馬鞍#1機,87.07.20,"66,735",水
馬鞍#2,42441台中市和平區天輪里東關路二段89-1號,24.1825,120.84,馬鞍#2機,87.09.30,"66,735",水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,24.182837,120.925016,社寮,83.10.14,945,水
曾文#1,71544 台南市楠西區密枝里133號,23.24801,120.532603,曾文,62.07,"50,000",水
高屏發電廠,84304 高雄市美濃區竹門20號,22.994856,120.640755,六龜#1機,83.5,"2,250",水
高屏發電廠,84304 高雄市美濃區竹門20號,22.994856,120.640755,六龜#2機,83.5,"2,250",水
高屏發電廠,84304 高雄市美濃區竹門20號,22.869143,120.587076,竹門,99.10.4,"2,670",水
立霧#1&#2,97053 花蓮市自由街136號,24.155256,121.6265,立霧#1機,33.04,"16,000",水
東部發電廠,97053 花蓮市自由街136號,24.155256,121.6265,立霧#2機,33.04,"16,000",水
東部發電廠,97053 花蓮市自由街136號,24.022465,121.408996,龍溪,75.4.27,"4,700",水
龍澗#1,97053 花蓮市自由街136號,24.002229,121.429639,龍澗#1機,48.06,"48,600",水
龍澗#2,97053 花蓮市自由街136號,24.002229,121.429639,龍澗#2機,73.09.12,"48,600",水
東部發電廠,97053 花蓮市自由街136號,24.002229,121.429639,水簾,74.04.30,"9,500",水
東部發電廠,97053 花蓮市自由街136號,23.966495,121.458327,清水#1機,30.03,"2,500",水
東部發電廠,97053 花蓮市自由街136號,23.966495,121.458327,清水#2機,30.03,"2,500",水
東部發電廠,97053 花蓮市自由街136號,23.966495,121.458327,清水#3機,30.03,"2,000",水
東部發電廠,97053 花蓮市自由街136號,23.966183,121.489379,銅門#1機,44.01,"7,000",水
東部發電廠,97053 花蓮市自由街136號,23.966183,121.489379,銅門#2機,44.01,"7,000",水
東部發電廠,97053 花蓮市自由街136號,23.966183,121.489379,銅門#3機,44.01,"7,000",水
東部發電廠,97053 花蓮市自由街136號,23.957731,121.507264,榕樹,56.01,"2,700",水
東部發電廠,97053 花蓮市自由街136號,23.815374,121.469856,溪口,49.05,"2,700",水
碧海,97053 花蓮市自由街136號,24.335655,121.676529,碧海,101.12,"61,200",水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,24.643604,121.594814,圓山#1機,30.12,"9,000",水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,24.643604,121.594814,圓山#2機,30.12,"9,000",水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,24.655543,121.616233,天埤#1機,11.05,"2,125",水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,24.655543,121.616233,天埤#2機,11.05,"2,125",水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,24.655543,121.616233,天埤#3機,11.05,"2,125",水
蘭陽發電廠,26605 宜蘭縣三星鄉天山村電力路25號,24.655543,121.616233,天埤#4機,11.05,"2,000",水
核一#1,,25.286333,121.587389,核一#1,,,
核一#2,,25.286333,121.587389,核一#1,,,
核二#1,,25.20269,121.662508,核二#1,,,
核二#2,,25.20269,121.662508,核二#2,,,
核三#1,,21.95815,120.751737,核三#1,,,
核三#2,,21.95815,120.751737,核三#2,,,
林口#1,,25.119493,121.29891,,,,
林口#2,,25.119493,121.29891,,,,
和平#1,,24.309388,121.76179,,,,
和平#2,,24.309388,121.76179,,,,
海湖#1,,25.11675,121.257,,,,
海湖#2,,25.11675,121.257,,,,
麥寮#1,,23.801167,120.212778,,,,
麥寮#2,,23.801167,120.212778,,,,
麥寮#3,,23.801167,120.212778,,,,
新桃#1,,24.814306,121.197722,,,,
國光#1,,25.040379,121.340942,,,,
星彰#1,,24.126743,120.430493,,,,
星元#1,,24.130026,120.417607,,,,
嘉惠#1,,23.531717,120.472877,,,,
豐德#1,,23.084049,120.355834,,,,
豐德#2,,23.084049,120.355834,,,,
馬祖珠山,,26.156667,119.934833,,,,
名間,,23.836111,120.711389,,,,
嘉南西口&嘉南烏山頭,,23.221936,120.403727,,,,
卑南,,22.822222,121.084444,,,,
